CG12                	20161028            
scdr话单数             	698                 
文件大小（Byte）          	1146553212          
第一个文件               	gzR601080000204301_b00204301.dat
最后一个文件              	gzR601080000204998_b00204998.dat

CG12                	20161028            
sgwcdr话单数           	2021                
文件大小（Byte）          	1417685820          
第一个文件               	gzR910080001332023_zj2016102800477443.dat
最后一个文件              	gzR910080001338822_zj2016102800479463.dat

CG12                	20161028            
pgwcdr话单数           	4781                
文件大小（Byte）          	3562830759          
第一个文件               	gzR910080001332022_zj2016102800854580.dat
最后一个文件              	gzR910080001338823_zj2016102800859360.dat

CG13                	20161028            
scdr话单数             	924                 
文件大小（Byte）          	1561182131          
第一个文件               	gzR601080000325000_b00325000.dat
最后一个文件              	gzR601080000325923_b00325923.dat

CG13                	20161028            
sgwcdr话单数           	2004                
文件大小（Byte）          	1421194399          
第一个文件               	gzR910080001343338_zj2016102800487790.dat
最后一个文件              	gzR910080001350007_zj2016102800489793.dat

CG13                	20161028            
pgwcdr话单数           	4667                
文件大小（Byte）          	3518129229          
第一个文件               	gzR910080001343337_zj2016102800855548.dat
最后一个文件              	gzR910080001350006_zj2016102800860214.dat

CG11                	20161028            
scdr话单数             	/                   
文件大小（Byte）          	/                   
第一个文件               	/                   
最后一个文件              	/                   

CG11                	20161028            
sgwcdr话单数           	1967                
文件大小（Byte）          	1371066564          
第一个文件               	gzR910080004187546_zj2016102800608253.dat
最后一个文件              	gzR910080004194132_zj2016102800610219.dat

CG11                	20161028            
pgwcdr话单数           	4622                
文件大小（Byte）          	3421013258          
第一个文件               	gzR910080004187545_zj2016102803579293.dat
最后一个文件              	gzR910080004194133_zj2016102803583914.dat

CG9                 	20161028            
scdr话单数             	/                   
文件大小（Byte）          	/                   
第一个文件               	/                   
最后一个文件              	/                   

CG9                 	20161028            
sgwcdr话单数           	1973                
文件大小（Byte）          	1385284064          
第一个文件               	gzR910080002748880_zj2016102800606297.dat
最后一个文件              	gzR910080002755673_zj2016102800608269.dat

CG9                 	20161028            
pgwcdr话单数           	4822                
文件大小（Byte）          	3611974698          
第一个文件               	gzR910080002748881_zj2016102803619701.dat
最后一个文件              	gzR910080002755674_zj2016102803624522.dat

CG8                 	20161028            
scdr话单数             	1952                
文件大小（Byte）          	3333957924          
第一个文件               	gzR601080004774323_b03273422.dat
最后一个文件              	gzR601080004776274_b03275373.dat

CG8                 	20161028            
sgwcdr话单数           	1978                
文件大小（Byte）          	1389752264          
第一个文件               	gzR910080004295083_zj2016102800614207.dat
最后一个文件              	gzR910080004301710_zj2016102800616184.dat

CG8                 	20161028            
pgwcdr话单数           	4653                
文件大小（Byte）          	3470291580          
第一个文件               	gzR910080004295082_zj2016102803680876.dat
最后一个文件              	gzR910080004301712_zj2016102803685528.dat

CG10                	20161028            
scdr话单数             	803                 
文件大小（Byte）          	1358612995          
第一个文件               	gzR601080000124831_b00703035.dat
最后一个文件              	gzR601080000125633_b00703837.dat

CG10                	20161028            
sgwcdr话单数           	/                   
文件大小（Byte）          	/                   
第一个文件               	/                   
最后一个文件              	/                   

CG10                	20161028            
pgwcdr话单数           	/                   
文件大小（Byte）          	/                   
第一个文件               	/                   
最后一个文件              	/                   

CG15                	20161028            
scdr话单数             	1170                
文件大小（Byte）          	1930872748          
第一个文件               	gzR601080000154624_b00154629.dat
最后一个文件              	gzR601080000155793_b00155798.dat

CG15                	20161028            
sgwcdr话单数           	1953                
文件大小（Byte）          	1366564999          
第一个文件               	gzR910080000800738_zj2016102800221787.dat
最后一个文件              	gzR910080000807416_zj2016102800223739.dat

CG15                	20161028            
pgwcdr话单数           	4633                
文件大小（Byte）          	3437825628          
第一个文件               	gzR910080000800736_zj2016102800569574.dat
最后一个文件              	gzR910080000807417_zj2016102800574206.dat

